"claim_id","phase","subject","claim_text","provenance","status","url","snippet","date_accessed","used_in"
"C016","0","Asset shape","The audited asset is a human-delivered verification service with a sustained revenue history, supported by software modules that are largely prototype. This changes the acquirer shape from platform buyer to service-and-methodology buyer.","researcher-derived","Not Tested","(in-session correction memo)","Memo, corrected register finding 2.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C017","0","Chain of title","Chain of title is unresolved across the register. A period of third-party access to the IP without a signed agreement sits behind that column.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, corrected register finding 4.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C018","0","Tier reliability","18 register rows are tagged Tier A. 15 of those carry a Current Stage of Prototype in the same row. Reclassification is underway on the test of whether a third party has paid for the output, and the defensible Tier A count is expected to be 2 or 3, being PEL and GBM.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, additional audited facts.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C019","0","Founder replication assessment","The founder marked 21 of 38 register rows Low replication difficulty and only 5 High.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, additional audited facts.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C020","0","Protection type errors","Protection Type is misapplied on 10 register rows, mostly Trademark assigned to methodologies and datasets. One row claims Database Rights, which do not exist as a standalone right in Canada. One row claims Patent Pending with no application reference.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, additional audited facts.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C021","0","Funder attribution","Register rows cite NRCan and IRAP inconsistently. IRAP is administered by the National Research Council, which is not Natural Resources Canada. No grant-history claim should be built on the register's funding column.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, additional audited facts.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C022","0","Retired defensibility claims","Two claims appearing in EcoSpex positioning documents have been retired and are excluded from this analysis: that AI cannot recreate the methodology, and that the output is 100 percent accurate.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, prior research exclusions.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C030","0","ISO 9001 certification","Whether a registered ISO 9001 certificate naming EcoSpex Inc. exists could not be determined from public sources. A web search returned no registrar record and no certificate reference.","source-asserted","Unverifiable","(WebSearch: 'EcoSpex ISO 9001 certified registrar certificate')","Search returned only generic registrar-directory pages and no EcoSpex certificate record. There is no single searchable registry of ISO 9001 certificates, so this null result is Unverifiable and is not evidence that no certificate exists.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C031","0","ISO 9001 framework versus certificate","Internal evidence that a QA framework was modelled on ISO 9001 is not evidence of certification. ISO 9001 certifies an organization's quality management system and is not a product verification credential.","researcher-derived","Not Tested","(definitional)","Held separate from C030 in all prose.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C040","1","EcoSpex corporate","EcoSpex Inc. was incorporated July 2013 and is wholly owned by Blue Wilderness Management Group Inc., a green building sustainability consulting firm founded in 2001 by Julie Scarcella.","ecospex-asserted","Blocked","https://gust.com/companies/ecospex_inc","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] 'EcoSpex is wholly owned by BW and was incorporated July 2013.'","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C041","1","Founder background","EcoSpex states that its founder previously held the position of Managing Director at Building Research Establishment (BRE) Canada and founded the Ontario Sustainable Construction and Resource Centre.","ecospex-asserted","Blocked","https://www.linkedin.com/in/juliescarcella/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary lists 'Managing Director at Building Research Establishment (BRE) Canada' and 'Founder of the Ontario Sustainable Construction and Resource Centre (OSCAR)'.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C042","1","IESO subsidy","EcoSpex states that its Premium Verified listings are offered at pilot program pricing at a 60 percent discount to regular pricing due to subsidies from the Independent Electricity System Operator in Ontario.","ecospex-asserted","Blocked","http://www.eco-spex.com/Common/FaqView","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Premium Verified listings offered at pilot program pricing with a 60% discount over regular pricing due to subsidies from the IESO (Independent Electricity System Operator) in Ontario.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C043","1","IRAP project","EcoSpex states that it has run an 'IRAP /NRC Automation of low carbon construction products' project.","ecospex-asserted","Blocked","https://www.ecospex.com/projects","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary references an 'IRAP /NRC Automation of low carbon construction products' project on the EcoSpex projects page.","2026-09-03","01-ACQUIRER-CATEGORIES.md; OPEN-QUESTIONS.md"
"C044","1","Pilot-stage language","A search for an independent third-party statement of EcoSpex revenue, customer count or database size returned nothing. No third-party source was found that states any of these figures.","source-asserted","Unverifiable","(WebSearch: 'EcoSpex Inc Canada Premium Environmental Listing Green Building Matrix Julie Scarcella')","Recorded absence. Search surfaced only EcoSpex-owned pages, a Crunchbase profile, a Gust profile and an EquityNet profile. No independent revenue or scale figure was returned.","2026-09-03","01-ACQUIRER-CATEGORIES.md; OPEN-QUESTIONS.md"
"C050","1","mindful MATERIALS CMF","The Common Materials Framework is curated by mindful MATERIALS, a charitable public-benefit organization, and translates the industry's certifications, disclosures and product data into a consistent comparable format.","source-asserted","Blocked","https://www.mindfulmaterials.com/a-common-language","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: CMF 'provides a shared language that facilitates the translation of the industry's diverse range of certifications, disclosures, and product data into a consistent, comparable format.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C051","1","Rating body alignment on CMF","At the 2026 Greenbuild International Conference and Expo, USGBC, IWBI, ILFI, BRE and AIA acknowledged a collective effort to align their rating systems and climate action programs around the Common Materials Framework. CMF is being incorporated into LEED v5, WELL v2 and LBC 5.0.","source-asserted","Blocked","https://www.mindfulmaterials.com/rating-systems-program-partner-relationships","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'As announced at the 2026 Greenbuild International Conference & Expo, USGBC, IWBI, ILFI, BRE, and AIA acknowledged a collective effort to align their respective rating systems and climate action programs around the CMF. More platforms and rating systems are incorporating the CMF, including LEED v5, WELL v2, and LBC 5.0.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C052","1","HPDC CMF Data Module","The Health Product Declaration Collaborative planned to launch a CMF Data Module in the HPD builder by early 2026, allowing manufacturers to organize data by the CMF and expose it through HPDC's established APIs.","source-asserted","Blocked","https://www.mindfulmaterials.com/post/mindful-materials-launches-data-ecosystem-report-unveiling-vision-for-a-connected-future-of-sustain","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'HPDC will be launching a CMF Data Module in the HPD builder by early 2026 ... organize their data by the CMF, and see this data within workflow tools with HPDC's already established APIs.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C053","1","Commoditization inference","Multi-standard cross-walk between rating systems, the core of the EcoSpex verification matrix, is being standardized as a free, open framework maintained by the rating system owners themselves. This removes the scarcity that would make the mapping logic worth buying.","researcher-derived","Not Tested","(derived from C050, C051, C052, C019)","Inference chain: rating bodies align on CMF; CMF enters LEED v5, WELL v2, LBC 5.0; HPDC ships CMF data module with APIs; founder marks 21 of 38 rows Low replication difficulty.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C060","1","EC3 API partners","Autodesk, Bentley, Ecomedes, 2050 Materials, Tangible and cove.tool leverage EC3 EPD data via API. EC3 is described as free and open-access.","source-asserted","Blocked","https://www.buildingtransparency.org/tools/ec3/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Many of the industry's leading technology providers, including Autodesk, Bentley, Ecomedes, 2050 Materials, Tangible and cove.tool, leverage the EPD data via API.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C061","1","Acelab data sourcing","Acelab's Material Hub integrates embodied carbon data from EC3 and pulls HPD disclosures directly from the Health Product Declaration Collaborative, with sustainability data described as verified at the source.","source-asserted","Blocked","https://www.acelabusa.com/the-material-hub-vision","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'sustainability data is verified at the source - HPD disclosures pulled directly from the Health Product Declaration Collaborative and embodied carbon data integrated from EC3.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C062","1","Acelab scale","Acelab's Material Hub is described as tracking over 250,000 products from more than 10,000 brands and monitoring more than 2,000 certifications.","source-asserted","Blocked","https://www.acelabusa.com/the-material-hub-vision","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Material Hub tracks over 250,000 products from 10,000-plus brands and monitors 2,000-plus certifications.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C063","1","Correction to prior brief on Acelab","The July 2026 partnership brief states that Acelab has no verified sustainability data feed and sources EPD data by AI web-scraping plus manual cross-checking. Search evidence dated May 2025 describes Acelab embodied carbon data as integrated from EC3 and HPD disclosures as pulled directly from HPDC, which narrows the gap the brief describes.","researcher-derived","Not Tested","(derived from C061 against the July 2026 brief)","The brief's central wedge claim is weaker than stated. Treated as a correction, not a confirmation.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C064","1","Deltek Specpoint sustainability content","Deltek Specpoint, which hosts AIA MasterSpec, includes sustainability language and requirements for LEED v4.0 and v4.1, CalGreen, Green Globes and the IgCC / ASHRAE 189.1, with ongoing support and updates.","source-asserted","Blocked","https://www.deltek.com/products/delivery-assurance/specpoint/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'The platform includes sustainability language and requirements for LEED v4.0 and v4.1, Calgreen, Green Globes, and the IgCC/Ashrae 189.1, with ongoing support and updates.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C065","1","Sustainable Minds Transparency Catalog","The Transparency Catalog states that it curates every North American building product manufacturer creating EPDs or material ingredient disclosures from every program operator and every disclosure program, currently more than 2,100 manufacturers and industry organizations across 28 MasterFormat divisions.","source-asserted","Blocked","http://www.sustainableminds.com/industry-blog/sustainable-minds-announces-transparency-catalog-v3-0","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'more than 2,100 manufacturers and industry organizations in 28 MasterFormat divisions and 1,260 sections' and coverage of 'EVERY building product manufacturer in North America creating EPDs and/or material ingredient disclosures from EVERY program operator'.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C066","1","Distribution layer inference","No identified specifier-facing platform has a verification or standards-mapping gap that this asset uniquely closes. The layer is served by EC3 at no cost, by HPDC APIs, by the CMF, by Sustainable Minds' catalogue, and inside Deltek Specpoint natively.","researcher-derived","Not Tested","(derived from C060, C061, C062, C064, C065)","Basis for rejecting the specifier-platform and LCA-software seed hypotheses as acquirer categories.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C070","1","Ecomedes gap filled","Ecomedes announced a partnership with WAP Sustainability on 22 June 2026 under which manufacturers publish structured EPD data into the Ecomedes platform via API using the OpenEPD Database.","source-asserted","Blocked","https://wapsustainability.com/2026/06/22/ecomedes-wap-sustainability-partnership/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Ecomedes announced a formal partnership with WAP Sustainability ... on June 22, 2026. Through this partnership, manufacturers can publish structured, manufacturer-reported EPD data directly into the ecomedes platform via API connectivity, using the OpenEPD Database.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C071","1","Ecomedes timing verdict","Ecomedes is a poorly timed acquirer. Its verified-data gap was filled in June 2026, three months before this analysis.","researcher-derived","Not Tested","(derived from C070)","Applies the timing inversion at category level.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C072","1","Ecomedes revenue estimate","Latka reports Ecomedes revenue of USD 10M in October 2024 with a 23 person team, and USD 6.4M in December 2023. These are third-party aggregator estimates, not reported financials.","source-asserted","Blocked","https://getlatka.com/companies/ecomedes","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'How Ecomedes hit $10M revenue with a 23 person team in 2024.' Labelled an estimate at every appearance.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C073","1","Ecomedes funding","Ecomedes received USD 1.5M seed funding from Saint-Gobain NOVA External Ventures and PivotNorth Capital in September 2020, and completed USD 3.25M in seed financing led by M12, Microsoft's venture fund, in March 2021, with participation from NOVA by Saint-Gobain and others. Crunchbase-derived totals are estimates.","source-asserted","Blocked","https://www.crunchbase.com/organization/ecomedes","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary reports the $1.5M NOVA/PivotNorth seed and a $3.25M seed led by M12 with NOVA participation.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C074","1","Sphera gap filled","Sphera announced the acquisition of SupplyShift on 9 January 2024.","source-asserted","Blocked","https://sphera.com/company/news/sphera-acquires-supplyshift/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'On January 9, 2024, Sphera ... announced that it acquired SupplyShift, a supply chain sustainability software company.'","2026-09-03","01-ACQUIRER-CATEGORIES.md; 02-TRANSACTION-COMPS.md"
"C075","1","Assent gap filled","Assent, headquartered in Ottawa, completed the acquisition of iPoint of Reutlingen, Germany, announced 10 July 2026. It is described as the first acquisition in the company's history and adds lifecycle assessment, product carbon footprint and product stewardship.","source-asserted","Blocked","https://www.bnnbloomberg.ca/press-releases/2026/07/10/assent-acquires-ipoint-uniting-ai-powered-compliance-and-product-intelligence/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'The acquisition, the first in company history ... IPOINT is a product compliance and sustainability software provider with expertise in the automotive industry, lifecycle assessment (LCA) and product stewardship.'","2026-09-03","01-ACQUIRER-CATEGORIES.md; 02-TRANSACTION-COMPS.md"
"C076","1","Cority gap filled","Cority, headquartered in Toronto, acquired WeSustain in April 2021, Reporting 21 in September 2022 and Greenstone in May 2023.","source-asserted","Blocked","https://www.cority.com/news-media/wesustain/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Cority acquired WeSustain on April 30, 2021 ... Reporting 21 ... announced in September 2022 ... the third acquisition being Greenstone in May 2023.'","2026-09-03","01-ACQUIRER-CATEGORIES.md; 02-TRANSACTION-COMPS.md"
"C077","1","Autodesk EC3 integration","Building Transparency publishes documentation for an EC3 integration with Autodesk Construction Cloud.","source-asserted","Blocked","https://docs.buildingtransparency.org/ec3/integrations/autodesk-construction-cloud","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search result title: 'Autodesk Construction Cloud | Building Transparency Documentation'.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C080","1","LEED v5 mandatory date","LEED v4 and v4.1 stop accepting new registrations on 30 June 2026, so every project registering on or after 1 July 2026 uses LEED v5. LEED v5 makes quantification of embodied carbon a mandatory prerequisite applying to all projects.","source-asserted","Blocked","https://epd.guide/environmental-regulations-and-laws/leed-v5-becomes-mandatory-on-july-1-2026","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'LEED v4 and v4.1 stop accepting new registrations on June 30, 2026 ... For the first time, measuring embodied carbon is a mandatory prerequisite.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C081","1","Canada embodied carbon standard","Canada's Standard on Embodied Carbon in Construction, under the Treasury Board Policy on Green Procurement, came into force 31 December 2022 for ready-mixed concrete on federal construction projects valued at CAD 5 million or more using 100 cubic metres or more, requiring at least a 10 percent embodied carbon reduction against the regional industry average. Requirements for structural and reinforcing steel and for whole-building life cycle assessment came into force 1 September 2025.","source-asserted","Blocked","https://netzerocompare.com/policies/canada-standard-on-embodied-carbon-in-construction","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary carries both the 31 December 2022 concrete threshold and the 1 September 2025 steel and whole-building LCA expansion.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C082","1","CAGBC regional compliance paths","CAGBC is proposing Canadian Regional Alternative Compliance Paths to USGBC for inclusion in LEED v5, with further Canadian RACPs expected through 2026.","source-asserted","Blocked","https://www.cagbc.org/news-resources/technical-documents/leed-v5-resources/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Other Canadian regional ACPs are expected to be released throughout 2026.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C090","1","Intertek capability","Intertek operates a Building Products Environmental Certification Program under which it tests selected sustainable attributes such as recycled content, solar reflectance, emissions and energy efficiency, third-party validates the claims, and then runs unannounced quarterly plant inspections.","source-asserted","Blocked","https://www.intertek.com/building/certification/environmental/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary quotes the programme scope and the 'routine program of unannounced, quarterly plant inspections'.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C091","1","NSF capability","NSF is a North American EPD Program Operator with more than 11,000 active EPD IDs across more than 40 Product Category Rules. As a Program Operator it verifies an externally produced LCA against ISO 14025 and the applicable PCR and hosts the final EPD.","source-asserted","Blocked","https://www.nsf.org/knowledge-library/nsf-trusted-pcr-lca-epd-program-operator","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'more than 11,000 active EPD IDs spanning over 40 distinct Product Category Rules.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C092","1","Common EPD programme operators","UL, ASTM International, SCS Global Services and NSF International are described as the most common EPD program operators.","source-asserted","Blocked","https://epd.guide/epd-program-operators-untangled/epd-program-operators-explained-for-manufacturers","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'UL, ASTM International, SCS Global Services, and NSF International are the most common program operators.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C093","1","SGS, Kiwa, TUV capability","SGS, Kiwa and TUV Rheinland each publish EPD and life cycle assessment service lines covering ISO 14025 preparation, verification and publication, with SGS explicitly supporting LEED and BREEAM.","source-asserted","Blocked","https://www.sgs.com/en-us/services/ecodesign-lca-epd-and-circular-economy-certification","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary covers SGS Ecodesign/LCA/EPD, Kiwa EPD certification, and TUV Rheinland LCA and EPD preparation.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C094","1","TIC capability-gap inference","The major TIC firms do not have a capability gap in green building product verification. They have the capability at scale. The realistic TIC interest in this asset is delivery capacity, manufacturer accounts and Canadian geography, not capability acquisition.","researcher-derived","Not Tested","(derived from C090, C091, C092, C093)","Reframes the strongest seed hypothesis: right category, wrong reason.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C100","1","CSA Group EPD position","CSA Group is an independent not-for-profit membership association providing global product testing and certification, operates an EPD program, issued a first Environmental Product Declaration for the Cement Association of Canada, and operates a Sustainability Mark.","source-asserted","Blocked","https://www.csagroup.org/testing-certification/marks-labels/sustainability-mark/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary covers the CSA Sustainability Mark and the Cement Association of Canada EPD.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C101","1","CSA Group and CAGBC alliance","CSA Group and the Canada Green Building Council announced an alliance to support LEED v4 and CSA Group's Environmental Product Declaration program.","source-asserted","Blocked","https://www.csagroup.org/news/csa-group-and-canada-green-building-council-form-alliance-2/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'CSA Group and Canada Green Building Council announced an alliance to support LEED v4 and CSA Group's Environmental Product Declaration (EPD) program.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C102","1","Athena Institute","The Athena Sustainable Materials Institute is an Ottawa-based non-profit research collaborative bringing life cycle assessment to the construction sector, and works with NSF and CSA Group as program operators rather than operating a programme itself.","source-asserted","Blocked","https://www.athenasmi.org/what-we-do/epd-and-ebd-services/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: Athena 'has relationships with all major North American program operators'; located at 280 Albert St, Ottawa.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C103","1","Assent scale","Assent is headquartered in Ottawa and raised USD 350M from Vista Equity Partners for supply chain data management.","source-asserted","Blocked","https://techcrunch.com/?p=2254258","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Canada's Assent Compliance lands $350M from Vista Equity for supply chain data management.'","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C200","2","SLR / WAP Sustainability","SLR International Corporation acquired WAP Sustainability, LLC effective 13 January 2026. WAP was founded in 2009 in Nashville by William Paddock and Brad McAllister and had close to 100 employees. Focus areas include life cycle assessment, environmental product declarations, carbon accounting and ESG advisory. No deal value was disclosed in the sources returned.","source-asserted","Blocked","https://www.slrconsulting.com/us/news/slr-acquires-wap-sustainability/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'SLR International Corporation (SLR) acquired WAP Sustainability, LLC, effective January 13, 2026 ... brings nearly 100 WAP employees.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C201","2","Once For All / 2050 Materials","Once For All Group acquired 2050 Materials. The acquisition was completed in November 2025. No deal value appeared in the sources returned.","source-asserted","Blocked","https://onceforall.com/once-for-all-group-acquires-2050-materials/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Once For All Group announced the acquisition of 2050 Materials ... The acquisition was completed in November 2025.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C202","2","Bureau Veritas / Aligned Incentives","Bureau Veritas announced the acquisition of Aligned Incentives on 23 October 2024. Aligned Incentives is headquartered in Middleton, Massachusetts and delivered EUR 3.5 million revenue in 2023. It was described as Bureau Veritas' first investment in AI-powered solutions for product life cycle assessment. No deal value appeared in the sources returned.","source-asserted","Blocked","https://group.bureauveritas.com/newsroom/bureau-veritas-acquires-aligned-incentives-enterprise-sustainability-planning-pioneer","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'announced on October 23, 2024 ... headquartered in Middleton, Massachusetts, and delivered EUR 3.5 million revenue in 2023.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C203","2","WAP / Coldstream Consulting","WAP Sustainability acquired Coldstream Consulting of Revelstoke, British Columbia, announced 20 December 2022. The stated rationale was a Canadian presence through Coldstream's long-standing relationship with the Athena Sustainable Materials Institute, industry experience in concrete, wood and other building products, and positioning for GSA and Federal Buy Clean EPD requirements. No deal value appeared in the sources returned.","source-asserted","Blocked","https://wapsustainability.com/2022/12/20/wap-sustainability-announces-the-acquisition-of-coldstream-consulting/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'provides WAP Sustainability a Canadian presence through Coldstream's long-standing relationship with the Athena Sustainable Materials Institute.'","2026-09-03","02-TRANSACTION-COMPS.md"
